@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
56,'2018/09/29 17:07:47:421',1,215.719513,387.667603,63.492935,228.447708,384.650543,65.877907,174.452423,392.047882,58.85397,179.768112,392.295532,55.626362,188.287827,386.283936,52.764561,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
57,'2018/09/29 17:07:47:472',1,212.751846,387.766754,63.680023,225.046967,384.038879,65.954239,174.110229,391.8797,58.645721,180.611832,391.80072,55.454212,189.396484,385.482117,52.638065,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
58,'2018/09/29 17:07:47:521',1,209.745285,387.480255,63.80304,220.937927,383.283691,66.121765,173.43605,391.56601,58.558701,181.686691,390.917877,55.457855,189.805145,384.233856,52.641861,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
59,'2018/09/29 17:07:47:571',1,205.375107,388.933594,63.50668,214.368668,384.95105,65.754486,174.403,392.204132,58.144554,183.675964,391.009766,55.037685,191.456009,383.978577,52.216442,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
60,'2018/09/29 17:07:47:621',1,202.774796,390.761322,63.28038,210.526154,387.168091,65.309509,175.841766,393.177551,57.878723,185.685318,391.874878,54.739479,193.655807,384.839081,51.887753,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
61,'2018/09/29 17:07:47:671',1,198.0923,394.141571,63.126186,205.716614,391.27182,64.746582,176.197021,395.298798,57.738644,185.690125,394.456055,54.442467,194.461777,387.822571,51.525997,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
62,'2018/09/29 17:07:47:721',1,193.108337,396.88739,62.82486,201.300232,394.325287,64.278069,176.654999,397.24469,57.585636,185.69278,396.596375,54.105389,194.531662,390.135712,51.102669,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
63,'2018/09/29 17:07:47:771',1,190.664932,399.74942,62.467865,198.646515,397.261627,63.937523,177.481552,399.674805,57.469707,187.459564,399.046051,53.987492,195.049881,392.683777,50.777378,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
64,'2018/09/29 17:07:47:821',1,190.490967,403.671539,61.993801,198.364777,401.247131,63.489902,180.068512,403.000671,57.294117,190.65593,402.327026,53.801044,196.283249,395.998901,50.351563,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
65,'2018/09/29 17:07:47:871',1,190.782516,406.136627,61.930893,198.97937,403.606476,63.464596,182.522064,405.745422,57.301304,194.183105,405.190063,53.854378,199.36998,399.177948,50.259174,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
66,'2018/09/29 17:07:47:922',1,195.84108,410.005493,61.731655,205.528412,407.509644,63.225784,190.031357,409.576233,57.174812,201.500259,408.70108,53.673912,205.625931,402.434845,49.980644,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
67,'2018/09/29 17:07:47:972',1,203.919708,411.157135,61.604507,214.089966,408.315582,63.088699,198.697144,411.406494,57.190552,209.37233,410.781189,53.606533,211.990982,404.853302,49.78046,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
68,'2018/09/29 17:07:48:025',1,210.35495,411.93396,60.836578,222.374008,408.923187,62.219563,206.173309,413.164001,56.545258,215.413696,413.703125,52.845173,216.728897,408.654694,48.847279,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
69,'2018/09/29 17:07:48:071',1,213.593277,411.657684,60.688782,226.372299,408.588959,62.022827,209.970108,413.148956,56.497868,218.419724,414.130432,52.744881,218.61322,409.424927,48.649364,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
70,'2018/09/29 17:07:48:122',1,215.178421,411.377563,60.616959,228.498306,408.247406,61.940689,212.363861,412.964172,56.567196,220.578918,414.30011,52.810154,219.142639,409.94043,48.564877,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
71,'2018/09/29 17:07:48:172',1,215.723297,411.077301,60.570339,229.484222,407.905151,61.90213,213.89949,412.670288,56.642132,221.923462,414.288422,52.868195,219.441208,410.197113,48.517921,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
